csv_line,smiles,best_name,action,issues
4,Nc1ccc(-c2nc(-c3ccc(N)cc3)nc(-c3ccc(N)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline-15N",dropped,同位素/残留标注
9,O=Cc1ccc(C(=O)C(F)(F)F)cc1,4-(trifluoroacetyl)benzaldehyde,fixed,is_aldehyde False→True
13,CC1(C)OB(c2ccc(-c3ccc(Br)cc3)cc2)OC1c1ccc(-c2ccc(-c3ccc(Br)cc3)cc2)cc1,"1,3,5-tris(4-bromophenyl)boronic acid pinacol ester",review,type 存疑 other vs RDKit=none
14,CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1c1ccc(C(F)(F)F)cc1,4-(trifluoromethyl)phenylboronic acid pinacol ester,review,type 存疑 other vs RDKit=none
18,C=CC(=O)OCC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,"1H,1H,7H-dodecafluoroheptyl acrylate",review,type 存疑 other vs RDKit=none
20,Brc1ccc(C(c2ccc(Br)cc2)(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,tetrakis(4-bromophenyl)methane,review,type 存疑 other vs RDKit=none
21,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,"2,6-diaminoanthraquinone",fixed,is_amine False→True
22,O=Cc1ccc2c(c1-c1ccccc1-c1ccc3c(c1-c1ccccc1-c1ccc(O)cc1)C=C3)C=C2,"2,2′,7,7′-tetramethoxy-9,9′-spirobifluorene-3,3′,6,6′-tetracarbaldehyde",fixed,is_aldehyde False→True
24,Cc1ccc(-c2ccc(N)cc2C)c(C)c1,"4,4′-diamino-2,2′,6,6′-tetramethylbiphenyl",fixed,is_amine False→True
26,N#Cc1ccc(C#N)cc1,"1,4-benzenedicarbonitrile",review,type 存疑 other vs RDKit=none
27,N#Cc1ccc(-c2ccc(C#N)nc2)nc1,"2,2-bipyridine-5,5-dicarbonitrile",review,type 存疑 other vs RDKit=none
31,Cl.N=C(N)NNC(N)=[NH2+],triaminoguanidinium chloride,fixed,"计数修正 n_aldehyde 0→0, n_amine 3→2"
33,O=Cc1ccc(F)cc1,4-fluorobenzaldehyde,fixed,is_aldehyde False→True
34,O=Cc1ccc(=O)[nH]c(=O)c1,"1,3,5-triformylphloroglucinol",fixed,is_aldehyde False→True
35,Nc1c(F)cc(-c2c(F)c(F)cc(F)c2F)c(F)c1F,"1,3,5-tris(2,3,5,6-tetrafluoroanilino)benzene",fixed,is_amine False→True
37,CCCOc1ccc(C(=O)NN)c(-c2ccccc2C(=O)NN)c1-c1ccccc1,"5′-(4-(hydrazinecarbonyl)-3-propoxyphenyl)-3,3′′-di(propoxy)-[1,1′:3′,1′′-terphenyl]-4,4′′-dicarboxyhydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; type 存疑 other vs RDKit=none"
38,Nc1c(F)c(F)cc(F)c1F,"1,3,5-tris(2,3,5,6-tetrafluoroanilino)benzene",fixed,is_amine False→True
39,O=CC1=CC(=O)C(O)=C(O)C1=O,"1,3,5-triformylphloroglucinol",fixed,is_aldehyde False→True
40,Oc1cc(O)cc(O)c1,phloroglucinol,review,type 存疑 other vs RDKit=none
42,Cc1ccc(-c2cc(C)ccc2C)cc1,"1,3,5-tris(4-methylphenyl)benzene derivative",review,type 存疑 other vs RDKit=none
43,NN,hydrazine hydrate,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
49,Nc1ccc(-c2nc(Nc3ccccc3)nc(-c3ccc(N)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
