方案编号,日期,版本,醛CAS,醛SMILES,醛名称,醛结构式路径,胺CAS,胺SMILES,胺名称,胺结构式路径,tianxuan_预测概率,tianxuan_MC标准差,试剂状态,阳性对照,单一变量,科学问题,失败Class,失败现象描述,根因Type,根因Notes,PXRD文件,FTIR文件,SEM文件,关联历史失败,关联外推依据,下一轮建议,备注
COF-TAPB-2026-06-24-A-v1,2026-06-29,1,1300701-03-4,,A6(三联苯-2CF3二醛),experiment/structure/1300701-03-4.png,118727-34-7,,TAPB,experiment/structure/118727-34-7.png,0.819,0.047,已买,AMCOF-1: TFPT+BD-CF3,基线,TAPB+A6 体系可行性,E,液面上方黄褐色固体(48h),不连续且粗糙,操作错(三重)：加料顺序反 + 乙酸 0.2mL 18M(应 6M) + 苯胺 13.7μL(与 v3.9 不符) + 未做 XRD,,,,,—,严格按 v3.9 加料:先醛+苯胺,后胺+酸;乙酸 6.0M;苯胺按醛基当量,操作错实例
COF-TAPB-2026-06-24-B-v1,2026-06-26,1,2368851-11-8,,A7(TFPTA 四CF3三联苯二醛),experiment/structure/2368851-11-8.png,118727-34-7,,TAPB,experiment/structure/118727-34-7.png,0.809,0.053,已买,AMCOF-1: TFPT+BD-CF3,基线,TAPB+A7 体系可行性,E,液面上方玻璃壁附着黄褐色固体(48h),不连续且粗糙;固体周围有黄色溶液薄膜附着,操作错(同 A 类):加料顺序反 + 乙酸 0.2mL 18M + 苯胺 13.7μL,,—,,,—,—,[同 A 改进] + 考虑改用 TAPT(v3.9 已切换),操作错实例
COF-TAPT-2026-06-24-C-v1,2026-06-26,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,2569674-64-0,,H3(C4F9-O-双酰肼),experiment/structure/2569674-64-0.png,0.040,0.018,已买,AMCOF-1: TFPT+BD-CF3,基线,TFPT+H3 酰肼体系可行性 (模型 Type A 盲区),C,液面白色糊状薄膜(48h)连续;黄褐色固体颗粒;底部乳白色沉淀;离心得白色粉末;静电效应大;未做 XRD 但 MS 预测了其 XRD,操作+单体,操作错:乙酸 0.2mL 18M; H3 不在 v5.3 训练分布（酰肼外推）但实际产粉末值得继续,,—, v5.3 报告 15 号 H+TFPT 不可靠,但本实验有粉末是例外证实,改用 v3.9 G5 体系:BTF/二氧六环 替代甲苯/氯仿;苯胺 8.2μL,模型盲区特例
COF-TAPT-2026-06-24-D-v1,2026-06-26,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,341-58-2,,TFMB(B5=BD-CF3 联苯二胺),experiment/structure/341-58-2.png,0.596,0.044,已买,AMCOF-1: TFPT+BD-CF3,基线,TFPT+TFMB 体系可行性,E,液面上方白色固体 0.2cm(48h),粗糙;底部白色固体,操作错:乙酸 0.4mL 12M(应 6M) + 苯胺 16.4μL(与 v3.9 不符),,,,—,—,[同改进] 乙酸 6.0M; 苯胺按 v3.9 当量,D9 进行中(新加料顺序)值得关注,操作错实例
COF-TAPB-2026-06-24-E-v1,2026-06-26,1,2640813-40-5,,F8-BDA(A3 八氟联苯二醛),experiment/structure/2640813-40-5.png,118727-34-7,,TAPB,experiment/structure/118727-34-7.png,0.589,0.035,已买,AMCOF-1: TFPT+BD-CF3,基线,TAPB+F8-BDA 体系可行性,D,液面少量黄褐色固体(48h),操作错:加料顺序反 + 乙酸 0.2mL 18M + 苯胺 13.7μL,,—,,,—,—,[同 A 改进] + 改用 TAPT,操作错实例
COF-TAPT-2026-06-25-F-v1,2026-06-26,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,1038-66-0,,F8-BZD(B4 八氟联苯二胺),experiment/structure/1038-66-0.png,0.486,,已买,AMCOF-1: TFPT+BD-CF3,基线,TFPT+F8-BZD 体系可行性,A,液面无固体产出;TFPT+苯胺部分溶解有沉淀;仅浑浊,操作错:加料顺序反 + 乙酸 0.2mL 18M + 苯胺 13.7μL + B4 溶解度限制(v3.9 G4-S4 已预溶标注),,,,—,—,[同 A 改进] + B4 先氯仿 0.4mL + 正己烷 0.6mL 70°C 超声 30min 预溶,操作错+溶解度限制
COF-TAPT-2026-07-03-A1-v1,2026-07-03,1,1300701-03-4,,A6(三联苯-2CF3),experiment/structure/1300701-03-4.png,14544-47-9,,TAPT,experiment/structure/14544-47-9.png,0.819,0.047,已买,AMCOF-1: TFPT+BD-CF3,节点 TAPT 替代 TAPB + 自反应法 (12h 单独三嗪在壁上形成初始膜),自反应法能否形成易脱落基底膜,E,"12h 自反应形成连续光滑膜,重启加热后膜反复溶解-再形成;加 A6 反应 72h 后膜连续但粗糙,机械强度极低(一碰就碎);液面有粉红色油状物",操作+单体,"自反应 12h 膜不稳定(反复溶解);加醛后膜质量变差;TAPT 三胺反应性较强,缺缓释机制",,,,与 D 类失败同模式(粉末/破碎膜),"GraphRAG 查询 TAPT 液-液界面文献 R-563-6 (Tp+Tta, DCM/water, 室温) 显示真正的液-液界面才能稳定成膜",改用 Boc 保护胺单体 (L-dfb5f8ca2997 JACS 文献验证) 或液-液界面法 (R-563-6),自反应法实例
COF-TAPB-2026-07-07-A2-v1,2026-07-07,1,1300701-03-4,,A6(三联苯-2CF3),experiment/structure/1300701-03-4.png,118727-34-7,,TAPB,experiment/structure/118727-34-7.png,0.819,0.047,已买,AMCOF-1: TFPT+BD-CF3,节点 TAPB + 自反应法 (12h 单独 TAPB 自反应),TAPB 自反应法 vs TAPT 自反应法 对比,E,12h 自反应形成不连续粗糙类膜(固体颗粒堆积);加 A6 后 72h 仍为不连续粗糙深褐色固体,操作+单体,"TAPB 自反应比 TAPT 差;TAPB 三苯胺结构反应性弱,自组装能力差",,,,"同 A1, A5, A8 自反应模式","GraphRAG 显示 TAPT 文献 (R-161, R-484) 多于 TAPB,TAPT 是优选节点",回退到标准加料顺序(不预自反应);用 TAPT 而非 TAPB,TAPB 自反应法对照
COF-TAPT-2026-07-07-A5-v1,2026-07-07,1,1300701-03-4,,A6(三联苯-2CF3),experiment/structure/1300701-03-4.png,14544-47-9,,TAPT,experiment/structure/14544-47-9.png,0.819,0.047,已买,AMCOF-1: TFPT+BD-CF3,A1 + 氯仿 1.08 vs 0.88 mL (溶剂微调),氯仿量对自反应膜稳定性的影响,E,"12h 自反应形成连续粗糙颗粒堆积;加 A6 72h 膜逐渐变连续光滑但颜色加深,4 天后膜仍粗糙不连续",操作+单体,氯仿量微调效果有限;核心问题仍是自反应膜在加醛后被破坏,,,,"与 A1 几乎一致,氯仿量调整不解决根本问题",GraphRAG R-563-6 (Tp+Tta DCM/water) 表明溶剂体系比单溶剂调整更关键,"放弃自反应法,改用 DCM/water 液-液界面法或 Boc 保护策略",A1 氯仿微调对照
COF-TAPT-2026-07-09-A8-v1,2026-07-09,1,1300701-03-4,,A6(三联苯-2CF3),experiment/structure/1300701-03-4.png,14544-47-9,,TAPT,experiment/structure/14544-47-9.png,0.819,0.047,已买,AMCOF-1: TFPT+BD-CF3,新加料顺序 (醛+苯胺 → 立即胺 → 最后酸),新加料顺序能否改善 A 系列膜质量,E,"反应 28h 后少量黄色连续粗糙膜;46h 后膜逐渐连续光滑但数量少;72h 后膜仍粗糙不连续,底部有固体颗粒",操作+单体,新加料顺序仍无法解决根本问题;膜形成初期较好但增长受限,,,,"与 A1 类似,自反应/预反应路线普遍失败","GraphRAG 找到 R-62-5 等 Boc 保护方案产物都是 film,提示真正可控释放是关键","放弃 A6 (A 系列),改用 F 系列单体或 Boc 保护胺",A8 新加料顺序
COF-TFPT-2026-07-03-D3-v1,2026-07-03,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,341-58-2,,TFMB (B5),experiment/structure/341-58-2.png,0.596,0.044,已买,AMCOF-1: TFPT+BD-CF3,"节点 TFPT 替代 + 自反应法 (醛版本, 12h 单独 TFPT 自反应)",TFPT 自反应法能否形成基底膜,E,12h 自反应形成连续光滑膜;重启加热后膜反复溶解-再形成;加 TFMB 操作失误爆沸 (氯仿流失);最终不连续粗糙薄膜 + 粉色油状物 + 部分碳化,操作+单体,操作失误爆沸是主要失败原因;TFPT 自反应膜同样不稳定;TFMB 反应性中等,,,,与 D 类相似,"GraphRAG R-563-6 (Tp+Tta, DCM/water 室温) 提示界面法更适合",不要中途开盖加料 (易爆沸);改用 DCM/water 液-液界面,TFPT 自反应 + 操作失误
COF-TFPB-2026-07-07-D4-v1,2026-07-07,1,118688-53-2,,TFPB(三联苯-三醛),experiment/structure/118688-53-2.png,341-58-2,,TFMB (B5),experiment/structure/341-58-2.png,0.596,0.044,已买,AMCOF-1: TFPT+BD-CF3,醛 TFPB 替代 TFPT + 中心核对照,TFPB 替代 TFPT 的成膜可行性,A,#aborted: 未冷却开盖 → 氯仿爆沸;未形成薄膜和沉淀,操作错,"未冷却至 30-40°C 开盖导致氯仿爆沸,数据作废",,,,—,"GraphRAG 提示 TFPB-TFMB 文献较少,转向其他节点","TFPB 数据点缺失,改用 TFPT/TAPT 节点",#aborted 操作失误实例
COF-TFPT-2026-07-07-D7-v1,2026-07-07,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,341-58-2,,TFMB (B5),experiment/structure/341-58-2.png,0.596,0.044,已买,AMCOF-1: TFPT+BD-CF3,标准顺序 (醛+苯胺 → 立即胺 → 最后酸) + 自反应 12h,D7 标准序 vs D9 新加料序对比,E,自反应 12h 形成连续粗糙颗粒堆积;加 TFMB 72h 后不连续粗糙浅黄色固体;4 天后无明显变化,操作+单体,D7 不如原 D (0.596 概率但操作错误导致);TFMB 反应性中等,,,,与原 D 类相似,GraphRAG R-161 等 TFPT+TFMB 含氟文献 (TFA+TAPT 类似),"D 系列需重新审视,放弃 TFMB,改用含氟胺类 (F8-BDA 等)",D7 标准序
COF-TFPT-2026-07-09-D9-v1,2026-07-09,1,443922-06-3,,TFPT(三嗪三苯甲醛),experiment/structure/443922-06-3.png,341-58-2,,TFMB (B5),experiment/structure/341-58-2.png,0.596,0.044,已买,AMCOF-1: TFPT+BD-CF3,新加料顺序 (醛+苯胺 → 立即 TFMB → 最后酸) + 量放大 3 倍,D9 新加料 + 量放大 3 倍 是否改善成膜,E,"26h 后白色连续粗糙膜+粉红油状物;50h 后膜部分变深红/黑(碳化迹象);72h 后膜部分碳化,效果比原 D 还差",操作+单体,量放大 3 倍 + 新加料顺序反而恶化;碳化迹象说明温度过高或反应过快,,,,"D9 效果比原 D 差,放大倍数是反向变量","GraphRAG 含氟 COF (R-60, R-161) 量级是毫克级,放大到克级容易出问题",回退到原 D 的 1x 量;改用 TFPT+含氟胺类 (F8-BDA/BZD),D9 量放大 + 新加料
