smiles,best_name,monomer_type,has_fluorine,n_f_atoms,has_cf3,n_aldehyde,n_amine,n_papers,source,commercial_id,cas,formula,is_aldehyde,is_amine,is_2d,audit_flag
O=Cc1c(O)c(C=O)c(O)c(C=O)c1O,"2,4,6-trihydroxy-1,3,5-benzenetricarboxaldehyde",aldehyde,False,0,False,3,0,189,llm,,,,True,False,True,
Nc1ccc(N)cc1,"p-Phenylenediamine (1,4-Diaminobenzene)",amine,False,0,False,0,2,101,llm,,,,False,True,True,
O=Cc1ccc(C=O)cc1,"Benzene-1,4-dicarboxaldehyde",aldehyde,False,0,False,2,0,90,llm,,,,True,False,True,
Nc1ccc(-c2ccc(N)cc2)cc1,"4,4'-diaminobiphenyl (benzidine)",amine,False,0,False,0,2,34,llm,,,,False,True,True,
O=Cc1c(F)c(F)c(C=O)c(F)c1F,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxaldehyde",aldehyde,True,4,False,2,0,15,llm,,,,True,False,True,
O=Cc1c(F)c(F)c(F)c(C=O)c1F,"2,3,5,6-tetrafluoroterephthalaldehyde",aldehyde,True,4,False,2,0,1,llm,,,,True,False,True,
O=Cc1ccc(C(=O)C(F)(F)F)cc1,4-(trifluoroacetyl)benzaldehyde,aldehyde,True,3,True,1,0,1,llm,,,,True,False,False,fixed
Nc1cccc(N)c1,m-phenylenediamine,amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1ccc(C=O)c(C=O)c1,"1,3,5-benzenetricarboxaldehyde",aldehyde,False,0,False,3,0,10,llm,,,,True,False,True,
O=Cc1c(F)cc(F)c(F)c1C=O,"2,3,5,6-tetrafluoroterephthalaldehyde",aldehyde,True,3,False,2,0,2,llm,,,,True,False,True,
CC1(C)OB(c2ccc(-c3ccc(Br)cc3)cc2)OC1c1ccc(-c2ccc(-c3ccc(Br)cc3)cc2)cc1,"1,3,5-tris(4-bromophenyl)boronic acid pinacol ester",other,False,0,False,0,0,1,llm,,,,False,False,False,review
CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1c1ccc(C(F)(F)F)cc1,4-(trifluoromethyl)phenylboronic acid pinacol ester,other,True,6,True,0,0,1,llm,,,,False,False,False,review
Nc1c(F)c(F)c(-c2c(N)c(F)c(F)c(F)c2F)c(F)c1F,"2,2',3,3',5,5',6,6'-octafluorobenzidine",amine,True,8,False,0,2,1,llm,,,,False,True,True,
NCCN,"1,2-diaminoethane",amine,False,0,False,0,2,4,llm,,,,False,True,True,
C=Cc1cc(C=O)ccc1C=O,"2,5-divinylbenzene-1,4-dicarboxaldehyde",aldehyde,False,0,False,2,0,4,llm,,,,True,False,True,
C=CC(=O)OCC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,"1H,1H,7H-dodecafluoroheptyl acrylate",other,True,9,True,0,0,1,llm,,,,False,False,False,review
O=Cc1ccc(C2=CC=[N+]C(c3ccc(C=O)cc3)=C2)cc1.[Cl-].[Cl-],"1,1-bis(4-formylphenyl)-4,4'-bipyridinium dichloride",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
Brc1ccc(C(c2ccc(Br)cc2)(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,tetrakis(4-bromophenyl)methane,other,False,0,False,0,0,1,llm,,,,False,False,False,review
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,"2,6-diaminoanthraquinone",amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
O=Cc1ccc2c(c1-c1ccccc1-c1ccc3c(c1-c1ccccc1-c1ccc(O)cc1)C=C3)C=C2,"2,2′,7,7′-tetramethoxy-9,9′-spirobifluorene-3,3′,6,6′-tetracarbaldehyde",aldehyde,False,0,False,1,0,1,llm,,,,True,False,False,fixed
Cc1cc(N)ccc1-c1cc(N)ccc1C,"4,4′-diamino-2,2′-dimethylbiphenyl",amine,False,0,False,0,2,1,llm,,,,False,True,True,
Cc1ccc(-c2ccc(N)cc2C)c(C)c1,"4,4′-diamino-2,2′,6,6′-tetramethylbiphenyl",amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
N=C(N)NNC(=N)N.[Cl-],triaminoguanidinium chloride,amine,False,0,False,0,2,1,llm,,,,False,True,True,
N#Cc1ccc(C#N)cc1,"1,4-benzenedicarbonitrile",other,False,0,False,0,0,5,llm,,,,False,False,False,review
N#Cc1ccc(-c2ccc(C#N)nc2)nc1,"2,2-bipyridine-5,5-dicarbonitrile",other,False,0,False,0,0,1,llm,,,,False,False,False,review
Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,"1,3,5-tris(4-aminophenyl)benzene",amine,False,0,False,0,3,110,llm,,,,False,True,True,
Nc1ccc(C(F)(F)F)cc1N,"2-(trifluoromethyl)benzene-1,4-diamine",amine,True,3,True,0,2,1,llm,,,,False,True,True,
O=Cc1cc(F)c(F)c(C=O)c1F,"2,3,5,6-tetrafluorobenzene-1,4-dicarbaldehyde",aldehyde,True,3,False,2,0,3,llm,,,,True,False,True,
Cl.N=C(N)NNC(N)=[NH2+],triaminoguanidinium chloride,amine,False,0,False,0,2,1,llm,,,,False,True,True,fixed
Nc1ccc(C(=C(c2ccc(N)cc2)c2ccc(N)cc2)c2ccc(N)cc2)cc1,"4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetraaniline",amine,False,0,False,0,4,3,llm,,,,False,True,True,
O=Cc1ccc(F)cc1,4-fluorobenzaldehyde,aldehyde,True,1,False,1,0,2,llm,,,,True,False,False,fixed
O=Cc1ccc(=O)[nH]c(=O)c1,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,1,0,1,llm,,,,True,False,False,fixed
